OpenTime,Open,High,Low,Close,Volume
1759540800000,122082.99,122336.38,121995.24,121995.26,0.56438
1759541100000,121995.25,122005.51,121960.0,121960.0,0.20519
1759541400000,121960.01,122029.16,121884.44,122029.16,0.86702
1759541700000,122029.15,122029.16,121890.77,121941.78,0.44848
1759542000000,121952.63,121952.63,121859.89,121866.62,0.26599
1759542300000,121883.96,121901.67,121787.14,121787.14,1.03637
1759542600000,121767.71,121793.97,121706.65,121706.65,0.28627
1759542900000,121700.01,121854.48,121700.0,121854.47,0.29011
1759543200000,121854.48,122019.99,121854.47,121960.01,0.29344
1759543500000,121960.02,122227.97,121960.01,121966.81,2.00201
1759543800000,121966.81,121999.0,121807.92,121865.82,1.34738
1759544100000,121865.83,121886.0,121686.66,121762.45,0.63146
1759544400000,121740.55,121858.94,120365.17,121770.2,2.85861
1759544700000,121737.2,121800.0,121737.19,121800.0,0.3944
1759545000000,121805.06,121841.1,121699.99,121740.76,0.38881
1759545300000,121740.75,121748.35,121684.97,121734.79,0.46807
1759545600000,121732.47,121782.54,121708.78,121752.63,0.46318
1759545900000,121752.62,121818.6,121724.0,121775.86,0.27492
1759546200000,121789.54,121950.09,121789.54,121950.09,0.91528
1759546500000,121950.08,121950.09,121825.5,121840.0,0.25341
1759546800000,121839.99,121873.13,121839.99,121844.01,0.39126
1759547100000,121844.0,121880.04,121844.0,121871.99,0.08976
1759547400000,121871.98,121887.0,121846.02,121886.99,0.26086
1759547700000,121887.0,121969.09,121886.99,121943.09,1.0984
1759548000000,121943.1,122000.0,121943.09,121999.99,0.07799
1759548300000,122000.0,122062.53,121999.99,122051.16,1.59461
1759548600000,122051.15,122089.94,122051.15,122073.63,0.73048
1759548900000,122073.64,122088.32,122038.26,122048.0,0.22603
1759549200000,122048.01,122093.77,122048.0,122093.76,0.3456
1759549500000,122093.77,122100.0,122038.28,122100.0,0.14353
1759549800000,122099.99,122246.79,122099.99,122246.78,0.55139
1759550100000,122246.79,122292.44,122200.0,122243.99,0.39949
1759550400000,122243.98,122313.13,122240.5,122296.83,0.31859
1759550700000,122296.84,122297.78,122261.0,122295.97,1.28703
1759551000000,122289.18,122295.96,122271.44,122276.76,0.26569
1759551300000,122276.75,122300.0,122219.3,122292.24,0.27362
1759551600000,122292.23,122377.75,122265.13,122377.11,0.83082
1759551900000,122377.1,122377.11,122336.5,122342.56,1.85272
1759552200000,122342.55,122386.0,122296.0,122359.5,0.56064
1759552500000,122359.51,122418.0,122359.5,122417.99,0.16891
1759552800000,122418.0,122500.0,122417.99,122481.76,0.70612
1759553100000,122481.77,122505.22,122346.87,122484.25,0.34599
1759553400000,122484.24,122522.0,122484.24,122514.62,0.34665
1759553700000,122514.63,122514.63,122495.0,122495.01,0.36562
1759554000000,122495.0,122495.01,122442.72,122442.73,0.44417
1759554300000,122442.72,122536.92,122442.72,122536.92,0.08909
1759554600000,122536.91,122671.0,122536.91,122657.04,0.65481
1759554900000,122657.04,122678.45,122339.12,122678.44,1.49333
1759555200000,122678.45,122740.97,122678.44,122733.1,0.32319
1759555500000,122733.09,122800.0,122687.12,122687.12,0.37335
1759555800000,122687.12,122718.08,122644.0,122717.01,0.61712
1759556100000,122698.8,122717.0,122643.98,122643.98,0.53699
1759556400000,122643.98,122643.99,122461.0,122472.63,0.35436
1759556700000,122472.64,122505.22,122405.64,122416.4,0.42586
1759557000000,122423.52,122770.54,122423.52,122565.72,1.51298
1759557300000,122565.71,122582.41,122474.97,122522.7,1.45843
1759557600000,122522.69,122560.34,122488.55,122502.32,0.26346
1759557900000,122502.31,122502.32,122389.61,122418.5,0.32074
1759558200000,122418.51,122431.69,122373.9,122407.0,1.29574
1759558500000,122407.01,122550.96,122407.0,122548.6,0.74412
1759558800000,122548.59,122606.86,122339.12,122568.01,0.39698
1759559100000,122568.0,122569.15,122295.52,122507.46,0.39
1759559400000,122507.45,122536.6,122507.45,122536.6,0.32998
1759559700000,122536.59,122544.08,122500.02,122526.87,0.09882
1759560000000,122526.88,122561.89,122488.5,122505.21,0.36351
1759560300000,122505.22,122519.5,122491.15,122491.16,0.29126
1759560600000,122491.15,122491.16,122442.49,122442.49,0.06007
1759560900000,122442.5,122457.37,122430.26,122430.26,0.86486
1759561200000,122430.27,122430.27,122405.21,122421.1,0.30515
1759561500000,122421.09,122421.1,122386.05,122386.05,0.10704
